City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Tubuala,PA,82.08,overcast clouds,9.5167,-79.0333,
516,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
517,Cosautlan,MX,72.09,broken clouds,19.3333,-96.9833,Hacienda El León de Cosautlán
518,Juterbog,DE,77.38,broken clouds,51.9833,13.0833,Landhaus Heinrichshof
520,Agropoli,IT,80.1,clear sky,40.3469,14.9966,B&B Baia di Trentova
521,Ouricuri,BR,84.81,overcast clouds,-7.8825,-40.0817,Sertão Pousada
522,Bocana De Paiwas,NI,83.17,broken clouds,12.7857,-85.1227,Guapinol Cabaña Monge
523,Levice,SK,70.45,clear sky,48.2156,18.6071,Business Hotel ASTRUM Laus
525,Nioro,GM,80.08,scattered clouds,13.35,-15.75,
537,Bismarck,US,75.04,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
541,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
544,Tame,CO,85.42,scattered clouds,6.461,-71.73,Hospedaje Santa Ana
548,Cartagena Del Chaira,CO,83.89,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
550,Joao Camara,BR,76.19,overcast clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
551,Trat,TH,79.92,overcast clouds,12.5,102.5,สวนหนิง-อัศ
552,Esil,KZ,70.03,few clouds,51.9556,66.4042,Egorkino Hotel
553,Pimentel,PE,71.89,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
554,Bandarbeyla,SO,76.44,overcast clouds,9.4942,50.8122,JABIR HOTEL
558,Banda Aceh,ID,76.96,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
559,Lodja,CD,75.27,scattered clouds,-3.4833,23.4333,
561,Najran,SA,72.25,heavy intensity rain,17.4924,44.1277,محمد هادي ال فطيح
562,Bobo Dioulasso,BF,77.45,few clouds,11.1771,-4.2979,IBA Hotel
567,Sibolga,ID,75.63,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
568,Amuntai,ID,72.18,clear sky,-2.4177,115.2494,Hotel Balqis
578,Takoradi,GH,73.99,scattered clouds,4.8845,-1.7554,Raybow International Hotel
579,Guerrero Negro,MX,78.93,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
580,Dingle,PH,76.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
581,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
584,Taybad,IR,86.56,clear sky,34.74,60.7756,لی پوش jean center
585,Sembakung,ID,72.99,light rain,3.8167,117.25,
587,Katsuura,JP,77.4,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
590,Reserva,BR,70.02,overcast clouds,-24.6503,-50.8506,Hotel Mavi
591,Brokopondo,SR,81.46,overcast clouds,4.75,-55.1667,Matu Island
592,Tura,IN,73.71,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
594,Fare,PF,78.37,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
598,Rock Sound,BS,82.45,clear sky,24.9,-76.2,Pink Corral Bay Property
600,Sao Jose Da Coroa Grande,BR,75.79,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
601,Andros Town,BS,82.36,broken clouds,24.7,-77.7667,Hanks place
602,Akyab,MM,80.04,light rain,20.15,92.9,Hotel Memory
603,Turan,VN,78.78,few clouds,16.0678,108.2208,Grand Mercure Danang
608,Avanigadda,IN,78.55,overcast clouds,16.0215,80.9181,AP Camping
609,Kolyubakino,RU,71.78,overcast clouds,55.668,36.5323,Country House in Hotyazhi
610,Coro,VE,85.91,scattered clouds,11.4045,-69.6734,Federal
611,Booue,GA,75.24,light rain,-0.0921,11.9385,Splendeur de l'équateur
615,Kutum,SD,86.95,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
618,Iwaki,JP,74.77,broken clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
619,Nichinan,JP,77.34,overcast clouds,31.6,131.3667,Guest House Aki
621,Catayauan,PH,75.4,few clouds,18.1636,121.6527,DEL ROSARIO HOMETEL
622,Horta,PT,74.84,broken clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
623,Pasighat,IN,76.32,broken clouds,28.0667,95.3333,Siang Guest House
624,Saint-Augustin,CA,70.45,overcast clouds,51.226,-58.6502,
