City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
657,Immokalee,US,26.4187,-81.4173,95.92,62,20,5.75,few clouds
658,Nanning,CN,22.8167,108.3167,81.05,86,0,2.73,clear sky
659,Taman,RU,45.2117,36.7161,75.38,61,55,6.73,broken clouds
660,Mbekenyera,TZ,-10.0,38.9833,66.79,77,3,3.44,clear sky
661,Iringa,TZ,-7.7667,35.7,59.09,64,0,10.36,clear sky
662,Ayan,RU,56.45,138.1667,57.79,92,100,15.05,overcast clouds
663,Bumba,CD,2.1833,22.4667,74.32,82,100,0.85,overcast clouds
664,Maralal,KE,1.0968,36.698,60.8,79,98,3.22,light rain
665,Baraboo,US,43.4711,-89.7443,82.8,62,1,1.99,clear sky
666,Taltal,CL,-25.4,-70.4833,60.73,73,9,5.44,clear sky
667,Severomuysk,RU,56.1481,113.4267,51.75,86,89,3.4,overcast clouds
668,Nuuk,GL,64.1835,-51.7216,56.01,67,75,5.75,broken clouds
669,Mayumba,GA,-3.432,10.6554,70.14,91,64,3.13,broken clouds
670,Gazanjyk,TM,39.2446,55.5154,81.21,55,44,8.1,light rain
671,Winslow,US,35.0242,-110.6974,91.58,29,40,3.44,scattered clouds
672,Salinopolis,BR,-0.6136,-47.3561,81.82,78,57,11.79,broken clouds
673,Sola,VU,-13.8833,167.55,80.26,78,19,6.29,few clouds
674,Bilma,NE,18.6853,12.9164,97.2,13,5,10.2,clear sky
675,Matveyevka,RU,52.15,56.1833,66.4,67,70,3.69,broken clouds
676,Iranshahr,IR,27.2025,60.6848,97.14,36,75,6.91,broken clouds
677,Shellbrook,CA,53.2168,-106.4011,70.83,44,73,7.36,broken clouds
678,Eyl,SO,7.9803,49.8164,77.22,77,80,23.96,broken clouds
679,Sayyan,YE,15.1718,44.3244,65.44,63,95,9.19,overcast clouds
680,Khalkhal,IR,37.6189,48.5258,57.33,86,95,6.78,light rain
681,North Bend,US,43.4065,-124.2243,74.91,91,0,23.02,clear sky
682,Anchorage,US,61.2181,-149.9003,63.64,69,75,5.75,broken clouds
683,San Cristobal,VE,7.7669,-72.225,78.98,41,100,7.74,overcast clouds
684,Redmond,US,47.674,-122.1215,82.33,59,7,5.01,clear sky
685,Kampli,IN,15.4,76.6167,76.19,78,100,13.67,overcast clouds
686,Puerto Ayacucho,VE,5.6639,-67.6236,79.83,81,100,5.37,overcast clouds
687,Anderson,US,34.5334,-82.6499,96.26,46,0,6.91,clear sky
688,Aksu,CN,41.1231,80.2644,88.86,21,99,1.07,overcast clouds
689,Kamenka,RU,51.3223,42.7678,62.67,87,54,4.74,broken clouds
690,Shakiso,ET,5.75,38.9167,58.46,82,87,1.5,overcast clouds
691,Ornskoldsvik,SE,63.2909,18.7153,59.95,82,20,4.61,few clouds
692,Red Bluff,US,40.1785,-122.2358,103.71,15,0,10.36,clear sky
693,Araguacu,BR,-12.9306,-49.8264,91.31,22,1,7.16,clear sky
694,Kumluca,TR,36.3703,30.2869,84.72,33,0,7.9,clear sky
695,Oktyabrskoye,RU,43.0645,44.7417,60.94,88,96,4.47,overcast clouds
696,Ariquemes,BR,-9.9133,-63.0408,96.8,21,54,1.1,broken clouds
697,Travesia,HN,15.8667,-87.9,91.69,73,100,8.19,overcast clouds
698,Ginir,ET,7.1333,40.7,61.47,67,72,15.05,broken clouds
699,Yinchuan,CN,38.4681,106.2731,75.24,45,2,8.05,clear sky
700,Ambilobe,MG,-13.2,49.05,68.58,75,74,3.74,broken clouds
701,Stornoway,GB,58.2093,-6.3865,59.94,97,75,4.61,light rain
702,San Joaquin,US,37.9333,-121.3011,92.52,32,0,6.91,clear sky
703,College,US,64.8569,-147.8028,66.99,51,40,3.0,scattered clouds
704,Mendi,PG,-6.1761,143.6513,52.54,97,41,2.77,scattered clouds
705,Perivolion,GR,39.4206,20.0147,87.35,68,0,8.9,clear sky
706,Samarai,PG,-10.6167,150.6667,79.5,81,97,14.58,overcast clouds
